id;ngay_muon;han_tra;ngay_tra;trang_thai
1;2021-04-10T05:35:06;2021-04-10T04:45:56;2021-04-10T07:26:00;28323
2;2021-04-09T19:16:52;2021-04-10T06:17:22;2021-04-10T07:30:01;9754
3;2021-04-09T21:26:37;2021-04-09T20:45:17;2021-04-10T02:54:43;82313
4;2021-04-09T12:09:49;2021-04-09T16:35:47;2021-04-09T14:15:17;72773
5;2021-04-09T13:41:53;2021-04-09T10:12:39;2021-04-09T21:06:25;43276
6;2021-04-10T01:09:33;2021-04-09T17:59:54;2021-04-10T05:01:02;18805
7;2021-04-10T03:19:52;2021-04-10T03:54:59;2021-04-10T01:50:12;71453
8;2021-04-09T13:23:42;2021-04-09T13:43:01;2021-04-10T03:08:51;42021
9;2021-04-09T13:51:51;2021-04-10T05:08:26;2021-04-09T17:51:28;9931
10;2021-04-09T11:33:34;2021-04-09T21:39:37;2021-04-09T14:47:31;48144
