id;ten_phong;vi_tri;suc_chua;gia_thue
1;e-business invoice;Bolivia Data;57774;12186
2;Future Convertible evolve;Pizza open-source;30297;47348
3;back-end up Franc;middleware payment Card;38042;20305
4;Cambridgeshire;Alabama Plains;74095;92923
5;Gardens;Customer Virtual;90908;25463
6;Rubber programming;De-engineered invoice moratorium;97351;33967
7;Salad firewall Tools;Avon Avon;21689;36571
8;teal Fort;Metal Account;40535;37214
9;process;Devolved turquoise;76325;97329
10;orchid SAS Rustic;azure Product Electronics;26904;34299
