id;ten_sach;gia_niem_yet;tacgia;gia_thue;ngan_xep
1;strategy;29857;Practical;56464;Interactions port
2;Frozen Kuwaiti;440;withdrawal;75735;Metal Flats
3;Account;37149;Glen Shirt Dalasi;72191;Borders Michigan
4;Flats strategic;79991;Granite;15122;Configuration
5;transmitter alliance Small;56099;Account;77697;online Georgia Organized
6;Sheqel;719;Path;18661;channels Organic
7;bypass orchid magenta;60255;Latvia indigo;45317;hack
8;Computer Azerbaijan Cedi;33171;e-business Connecticut transmitter;96583;budgetary
9;d'Ivoire Manager;10406;Tasty Intelligent e-markets;27814;Account
10;concept;68871;cohesive panel transmit;51360;innovate
